"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2,250376020E-1;1,857802391E0;3,038120270E-2;1,670579910E-1;1,865545795E0
2,274003730E-1;1,812784195E0;-7,776117325E-2;1,255025864E-1;1,818786474E0
2,297652940E-1;1,679868102E0;-2,043061256E-1;1,927928925E-1;1,703193158E0
2,321281030E-1;1,473217845E0;-3,969521523E-1;1,765785217E-1;1,535943295E0
2,344930240E-1;1,154667377E0;-6,007046700E-1;1,616134644E-1;1,311572249E0
2,368557960E-1;7,942074537E-1;-8,674755096E-1;4,773712158E-2;1,177097308E0
2,392209470E-1;4,707316160E-1;-1,029576302E0;-1,209354401E-1;1,138525799E0
2,415837190E-1;1,466039419E-1;-1,091859579E0;-1,036252975E-1;1,106520790E0
2,439486400E-1;-1,450527906E-1;-1,238358974E0;1,543045044E-3;1,246826228E0
2,463114110E-1;-3,469771147E-1;-1,316951752E0;-1,581859589E-2;1,361985779E0
2,486764090E-1;-5,032984018E-1;-1,406508446E0;-7,771587372E-2;1,495865985E0
2,510391030E-1;-5,880701542E-1;-1,413667440E0;-3,258991241E-2;1,531451678E0
2,534040910E-1;-5,707631111E-1;-1,414172173E0;1,431264877E-1;1,531711022E0
2,557668630E-1;-5,613334179E-1;-1,394699812E0;3,274316788E-1;1,538666395E0
2,581320140E-1;-4,584527016E-1;-1,313111305E0;6,183223724E-1;1,522091566E0
2,604945550E-1;-2,999228239E-1;-1,170826197E0;8,569335938E-1;1,481594704E0
2,628597070E-1;-1,140111685E-1;-1,066801548E0;1,104120255E0;1,539527728E0
2,652222140E-1;1,106457710E-1;-8,917479515E-1;1,280845642E0;1,564615753E0
2,675873660E-1;3,181046247E-1;-6,772379875E-1;1,499738693E0;1,676024460E0
2,699501370E-1;5,575446486E-1;-4,680771828E-1;1,710391998E0;1,858868761E0
2,723150580E-1;8,255373836E-1;-6,241402626E-1;2,460534096E0;2,669324086E0
2,746778300E-1;1,042782664E0;-6,881637573E-1;3,036761284E0;3,283730217E0
2,770428370E-1;1,115983963E0;-3,403873444E-1;2,502118111E0;2,760775034E0
2,794055310E-1;1,061412811E0;-1,372718811E-2;2,258807182E0;2,495795560E0
2,817705290E-1;1,127524734E0;2,426486015E-1;2,210369110E0;2,493175078E0
2,841333000E-1;1,238126159E0;3,970246315E-1;2,234328270E0;2,585112717E0
2,864984520E-1;1,193187952E0;5,772867203E-1;2,060014725E0;2,449615911E0
2,888609830E-1;1,102534056E0;7,070064545E-1;1,771519661E0;2,203116288E0
2,912261350E-1;1,000433683E0;8,097305298E-1;1,477318764E0;1,959337086E0
2,935889070E-1;9,822989702E-1;9,145197868E-1;1,226319313E0;1,817998010E0
2,959538280E-1;8,929836750E-1;9,211783409E-1;9,553174973E-1;1,599568973E0
2,983165990E-1;7,712727785E-1;9,138507843E-1;6,545362473E-1;1,363232428E0
3,006815100E-1;6,698114276E-1;8,649454117E-1;4,418821335E-1;1,179846487E0
3,030443580E-1;5,411537886E-1;6,670413017E-1;2,667598724E-1;8,994177843E-1
3,054092790E-1;4,524562359E-1;4,907889366E-1;1,013584137E-1;6,751769796E-1
3,077719740E-1;3,180480599E-1;2,109804153E-1;-3,226470947E-2;3,830252153E-1
3,101369720E-1;1,650683284E-1;-6,639862061E-2;-1,566953659E-1;2,370859919E-1
3,124997190E-1;9,477573633E-2;-2,938461304E-1;-1,290082932E-1;3,346208724E-1
3,148648710E-1;-8,958709240E-2;-5,113234520E-1;-4,809665680E-2;5,213356002E-1
